21,21,"{0.256993179400549,0.215099907741274,0.160926877844,0.485824965201824,0.223288946692701,0.139596204723557,0.168169644647122,0.249983608966842,0.182251485068112,0.167968044862235,0.21720339389087,0.233515864933355,0.365714800475661,0.142890364911524,0.220750175249598,0.270655422458107,0.365382881356868,0.59428180388284,0.411417329269213,0.213766669355752,1,0.446139885164088,0.258581694675611,0.211394909762109,0.214763330979921,0.315205706167836,0.236015324602518,0.24708671190979,0.332877362421821,0.253344340453204,0.215255579149827,0.261397115608049,0.198676719415176,0.194550218590421,0.156362237131995,0.154801201025781,0.168123428313746,0.224485915487911,0.197338068828429,0.169413773735641,0.202515377940599,0.243910296965627,0.206400726536997,0.559332765963821,0.352495597597105,0.278271774775534,0.176233188574661,0.20791090327436,0.299328090046217,0.270896812752872}"
22,22,"{0.388923127107847,0.310270109404503,0.145871802952656,0.313968751920233,0.467343925440677,0.165886124173178,0.18258983584381,0.163389437056681,0.190685929409802,0.152021693855538,0.241624574697742,0.30427598542975,0.275924523714973,0.194946863234847,0.197198614651444,0.246053384127789,0.364773513492907,0.495015755941252,0.34255676181015,0.332249524013286,0.446139885164088,1,0.233964308805592,0.225729331749822,0.189774192871711,0.260402234302214,0.215414952564977,0.204393541859116,0.34182541341231,0.316652190379223,0.154938844303957,0.319904931386693,0.220301540901452,0.255071280707924,0.239069199070134,0.203646884270214,0.203687766180648,0.203484748280786,0.305583794354256,0.21793616270187,0.170443023272805,0.205282230144434,0.18301263686619,0.350565012005888,0.305994228455539,0.249402688614109,0.198379862006244,0.270198278984795,0.20196872255431,0.509268842650477}"
23,23,"{0.439010013480953,0.282865742437817,0.194223130308725,0.354109731227178,0.271012560369184,0.185110668773405,0.172104403123633,0.211811325634105,0.149507540375678,0.184685257726588,0.252474165202538,0.235889546034682,0.241402305108241,0.172454808891371,0.306592729485004,0.462348615395872,0.408641291207529,0.286910041713351,0.214910368713924,0.260644753490847,0.258581694675611,0.233964308805592,1,0.239689102708133,0.195626816396185,0.253293735012329,0.237383942518625,0.206651278584615,0.446757604235439,0.231713566828769,0.202889836409361,0.309875381529603,0.218123378478214,0.23613149527342,0.400877125889658,0.212986115091085,0.155960921826071,0.354684691959718,0.381666434136057,0.184482288941541,0.201973916398994,0.239528691702547,0.23864777509681,0.292802589956032,0.260109340184811,0.283038416555958,0.263070953796742,0.174669587096914,0.235662404116668,0.167835687470745}"
24,24,"{0.222701450205171,0.187305973140904,0.181743568830682,0.368591322047522,0.313104775887348,0.223329309793643,0.178030839622968,0.205871470847836,0.123158872402144,0.248827186313658,0.233829524185644,0.156628762283958,0.194953940233683,0.132526545220272,0.219057992637214,0.23454068013754,0.348171932222953,0.292823901764522,0.206665146014388,0.232614019888183,0.211394909762109,0.225729331749822,0.239689102708133,1,0.148762861707025,0.310880701988479,0.191923232252196,0.211674007151623,0.283665497028908,0.342847117543697,0.15428596769883,0.272215364472111,0.201303900403438,0.215301763409354,0.145021304290511,0.109429411907846,0.163409232749708,0.208203981063691,0.146730789201548,0.240207133037722,0.252536498029387,0.241833274001722,0.150091924596948,0.329811900952813,0.362404293929447,0.327113275326192,0.24987619389007,0.122842986090278,0.237929787624038,0.166796619345869}"
25,25,"{0.195349805799995,0.210800868869988,0.161002876812098,0.217205852832611,0.168002052081085,0.107166038466133,0.107568938382647,0.136616373528676,0.151752770319369,0.127111353624564,0.163702622039933,0.178914231253944,0.191597211140899,0.142957845996286,0.164885564721135,0.371368814634466,0.181057616370163,0.238291253861748,0.180829241755106,0.159875770067456,0.214763330979921,0.189774192871711,0.195626816396185,0.148762861707025,1,0.17132240308787,0.183660506627146,0.404816924050518,0.200340583162174,0.152118517051011,0.299303793984658,0.194309576671215,0.125878226789731,0.146379104027019,0.118509568549673,0.228162582729365,0.126503731317685,0.170141649786532,0.0915561547755067,0.119219889551086,0.121233319592832,0.144597109532858,0.115348566057124,0.243185271166978,0.175932330990709,0.177743842141492,0.132203942713488,0.1047464370854,0.142263134402083,0.108823578399773}"
26,26,"{0.250462376153501,0.187503080362751,0.17653253536108,0.259693979918769,0.219997642651304,0.154255180503427,0.168231013556517,0.360575398284879,0.135858668186754,0.184096549676535,0.293365909577604,0.172124740197198,0.322055236798279,0.156746956968579,0.379006276135542,0.263777429369171,0.264289315149733,0.349737371852059,0.309704479577858,0.191149430275215,0.315205706167836,0.260402234302214,0.253293735012329,0.310880701988479,0.17132240308787,1,0.317753595446667,0.312837109487528,0.327098981225011,0.291961188515986,0.177683075235254,0.269327246420971,0.181656241077484,0.191682526614685,0.171525245039548,0.1344493055431,0.136584546062075,0.246255121238044,0.172788223851052,0.329939543080801,0.195752540532073,0.234608528677461,0.16726809064476,0.409415882712178,0.616914597033035,0.257258181349394,0.333540594477833,0.15776933220083,0.230821658572173,0.208201116053866}"
27,27,"{0.307020497905676,0.20266644953489,0.102159595574572,0.334896865307182,0.227002930616905,0.104592171029284,0.124533881777184,0.26688683959324,0.0968725086240946,0.104351803117152,0.186489197182822,0.216486353746439,0.251032103932,0.205786476435498,0.289243505867017,0.265395670227181,0.169743934806979,0.173490935907559,0.171617275187169,0.21217539977678,0.236015324602518,0.215414952564977,0.237383942518625,0.191923232252196,0.183660506627146,0.317753595446667,1,0.175824225681026,0.227074071625905,0.173991609829366,0.180662381867042,0.259211314212675,0.114730908184176,0.197786188820911,0.0992618705001208,0.134464936239592,0.0941862068851447,0.192217940819737,0.105622602843904,0.229873376321858,0.114220539020667,0.145171851184892,0.122849923052793,0.214771634367441,0.311092846945979,0.148875626303944,0.274409101834506,0.105692107334124,0.142828599017205,0.133442452202434}"
28,28,"{0.205936563745896,0.171597649908095,0.128741410643005,0.230591601081102,0.177891692472292,0.11249501116824,0.122687287954418,0.306286505869666,0.0990788273372224,0.134257684858994,0.30810778603851,0.153524202294591,0.169289081928573,0.114312210567062,0.1923136681306,0.487847978957217,0.211427797054031,0.274155751472607,0.212614905984235,0.16972843647238,0.24708671190979,0.204393541859116,0.206651278584615,0.211674007151623,0.404816924050518,0.312837109487528,0.175824225681026,1,0.219815537166794,0.355514015672513,0.46613028128637,0.27432452278363,0.132478019876539,0.211014105908792,0.125089700672519,0.321473770087002,0.109265747914057,0.179588604567447,0.126010764166411,0.241990399226542,0.142758150238446,0.171094993163935,0.121985048824694,0.279786352555489,0.21272599402074,0.187612901489414,0.191618219424672,0.159468671270812,0.168333309612065,0.151836630700382}"
29,29,"{0.313310344022073,0.260181988143889,0.195619379420251,0.42661378175728,0.331018683211466,0.222459310218575,0.215429501459724,0.35723041785169,0.183579683201798,0.32141700136452,0.37435686570186,0.277541981409708,0.341129469986531,0.261430815510674,0.2644504958451,0.329966513973592,0.686365693495292,0.296798070196255,0.26828521052433,0.256415573670511,0.332877362421821,0.34182541341231,0.446757604235439,0.283665497028908,0.200340583162174,0.327098981225011,0.227074071625905,0.219815537166794,1,0.355242436248046,0.255498894183353,0.311641980212522,0.257373912981367,0.23476904546966,0.461708117550479,0.197755527322505,0.352515272156445,0.272880429078487,0.210598005370942,0.308764159962487,0.194439164723087,0.231911006754318,0.492799118125433,0.433230543834391,0.460294240140895,0.285073149170018,0.503955787118612,0.210526505070987,0.295158858630365,0.351456645779136}"
30,30,"{0.228341068434998,0.170942455958511,0.162119876865265,0.238491765616841,0.44496482436532,0.140631073092587,0.210648276411077,0.213417296420016,0.177873548004145,0.169213242158106,0.263736607365355,0.151037771206055,0.219068944377675,0.183105353832456,0.222386662246333,0.240480111129665,0.481483144428614,0.422064162132799,0.221430734366074,0.175543403575426,0.253344340453204,0.316652190379223,0.231713566828769,0.342847117543697,0.152118517051011,0.291961188515986,0.173991609829366,0.355514015672513,0.355242436248046,1,0.15776620817061,0.241501839171913,0.302994648626874,0.176032976292067,0.157521397108006,0.287071789052801,0.12127449898302,0.226150096643058,0.163640701327096,0.37234192860504,0.416120539339719,0.382992440478755,0.207930836783625,0.295022643128829,0.530416348535968,0.349523575844579,0.245304475295205,0.213342742897993,0.376810471598187,0.181935195323644}"
31,31,"{0.202602541264554,0.205322207638891,0.156289184857265,0.358174396365553,0.243962647666058,0.111144782773539,0.111562641120655,0.231003514102464,0.0935050782424924,0.188979104086011,0.202326061472474,0.205619015073393,0.192075148844973,0.184312022853042,0.171007256923231,0.38515659272465,0.187779726945082,0.191924857929173,0.649929660619741,0.198069872423354,0.215255579149827,0.154938844303957,0.202889836409361,0.15428596769883,0.299303793984658,0.177683075235254,0.180662381867042,0.46613028128637,0.255498894183353,0.15776620817061,1,0.29518012363124,0.159926645168816,0.237433084848938,0.173738178011152,0.217854881849366,0.103282441273511,0.176458484207493,0.156586861911381,0.147243304251657,0.125734338638622,0.149965554001421,0.119631102363739,0.320189301442291,0.228157149287926,0.265874991912724,0.137112267141793,0.108635349060124,0.190864859639119,0.158293661644268}"
32,32,"{0.518227635320361,0.458986415579097,0.267895789879421,0.519473721827925,0.523518395918314,0.249960960293641,0.234911953715016,0.214117513783524,0.203026803998001,0.277111343879683,0.25756482102941,0.426978770994532,0.276375866227018,0.172100794109072,0.293097356550663,0.397676241734291,0.283769841545479,0.29003389987423,0.221562632590107,0.511457173603259,0.261397115608049,0.319904931386693,0.309875381529603,0.272215364472111,0.194309576671215,0.269327246420971,0.259211314212675,0.27432452278363,0.311641980212522,0.241501839171913,0.29518012363124,1,0.202434408101583,0.564266528934037,0.188326660063817,0.238364588707716,0.202673006319181,0.27037655300057,0.17510155622276,0.187471319366196,0.193002820980633,0.232274811748907,0.217040184135957,0.34419031213673,0.276574279884739,0.390400463883745,0.206256453803074,0.166508963707918,0.228525610704164,0.171219771223214}"
